Bike_Type,Age,Gender,Occupation,Distance_Travelled(km),Weather,Day_of_Week,Time_of_Day,Temperature(C),Humidity(%),Is_Holiday,Is_Weekend,Purpose_of_Ride,Satisfaction_Level(of 5),Helmet_Used,Traffic_Intensity(of 10),Road_Condition,User_Experience
bmx,68,Female,Unemployed,2.71,cloudy,Saturday,morning,17.4,51,FALSE,TRUE,Leisure,2,TRUE,6,Poor,Positive
hill,70,Male,Student,3.7,sunny,Thursday,afternoon,28.3,38,FALSE,TRUE,Errands,3,TRUE,2,Poor,Negative
hill,60,Other,Professional,0.2,cloudy,Monday,afternoon,26.6,68,FALSE,FALSE,Exercise,2,FALSE,1,Fair,Positive
hill,50,Other,Professional,2.13,rainy,Thursday,night,25.5,34,FALSE,FALSE,Exercise,1,FALSE,5,Poor,Positive
bmx,25,Female,Professional,4.07,rainy,Monday,afternoon,14.8,42,FALSE,FALSE,Leisure,5,FALSE,3,Poor,Positive
normal,34,Female,Retired,0.22,sunny,Friday,night,31.7,68,TRUE,TRUE,Commute,4,FALSE,6,Good,Positive
bmx,18,Male,Student,4.47,cloudy,Saturday,morning,26.7,44,TRUE,TRUE,Exercise,2,TRUE,7,Good,Positive
bmx,22,Male,Unemployed,1.44,cloudy,Sunday,evening,31,51,TRUE,FALSE,Errands,1,TRUE,7,Good,Neutral
hill,51,Female,Student,4.62,cloudy,Friday,morning,31.9,52,FALSE,FALSE,Exercise,1,TRUE,1,Good,Positive
bmx,31,Male,Retired,0.83,rainy,Saturday,afternoon,25.3,55,FALSE,FALSE,Leisure,1,TRUE,3,Poor,Negative
normal,20,Female,Unemployed,4.01,sunny,Wednesday,night,19.4,46,TRUE,FALSE,Errands,3,FALSE,8,Fair,Negative
bmx,38,Other,Retired,1.62,rainy,Wednesday,night,28.2,77,FALSE,FALSE,Exercise,1,FALSE,9,Good,Negative
normal,60,Other,Student,4.49,sunny,Thursday,afternoon,21.5,88,FALSE,FALSE,Exercise,3,FALSE,10,Fair,Positive
normal,22,Female,Professional,3.25,sunny,Saturday,afternoon,25.7,40,FALSE,FALSE,Leisure,1,TRUE,3,Fair,Neutral
hill,62,Male,Retired,2.05,rainy,Wednesday,night,22.2,65,FALSE,FALSE,Leisure,2,FALSE,3,Fair,Negative
hill,30,Male,Unemployed,4.94,rainy,Sunday,morning,32.3,30,TRUE,FALSE,Leisure,1,TRUE,4,Poor,Positive
normal,58,Female,Student,4.64,rainy,Wednesday,morning,33.8,71,FALSE,FALSE,Errands,5,TRUE,7,Poor,Neutral
bmx,25,Other,Unemployed,0.55,sunny,Thursday,evening,21.2,45,TRUE,FALSE,Leisure,2,FALSE,7,Poor,Negative
bmx,24,Male,Retired,4.55,cloudy,Saturday,afternoon,22.4,32,FALSE,FALSE,Exercise,1,FALSE,1,Fair,Positive
bmx,59,Male,Unemployed,0.29,rainy,Monday,afternoon,25.1,80,TRUE,TRUE,Leisure,1,FALSE,5,Poor,Positive
hill,24,Other,Retired,3.44,rainy,Monday,night,23.7,74,FALSE,TRUE,Commute,5,TRUE,7,Poor,Neutral
hill,35,Male,Unemployed,4.91,rainy,Thursday,afternoon,30.4,76,TRUE,FALSE,Leisure,5,FALSE,1,Good,Negative
hill,52,Female,Professional,2.32,cloudy,Sunday,morning,11.6,48,TRUE,FALSE,Exercise,5,FALSE,10,Poor,Positive
bmx,21,Male,Unemployed,3.41,rainy,Monday,night,16.9,40,TRUE,FALSE,Commute,1,FALSE,6,Poor,Positive
hill,64,Other,Unemployed,1.32,sunny,Tuesday,afternoon,26.3,42,FALSE,FALSE,Leisure,4,TRUE,2,Fair,Positive
normal,38,Other,Professional,3.61,rainy,Wednesday,night,25.7,58,TRUE,FALSE,Leisure,4,FALSE,5,Poor,Negative
hill,61,Male,Professional,1.28,sunny,Sunday,morning,32.8,51,TRUE,FALSE,Commute,4,TRUE,6,Fair,Neutral
hill,25,Other,Unemployed,2.07,sunny,Wednesday,morning,22.3,46,FALSE,TRUE,Leisure,5,FALSE,4,Good,Positive
