,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Neutral,False,0.3240146853900233,0.35932010247174573,0.316665212138231
5672,Negative,Neutral,False,0.33610894756681237,0.33905039732806225,0.32484065510512533
5389,Positive,Positive,True,0.31672291888195697,0.3389015486447293,0.34437553247331376
3103,Positive,Positive,True,0.32491842714718877,0.3190826445258307,0.3559989283269805
7910,Positive,Positive,True,0.3442249951923925,0.3101828324296707,0.3455921723779367
4158,Positive,Negative,False,0.3445455932698298,0.33065806870077585,0.3247963380293943
6029,Neutral,Positive,False,0.32517939494301434,0.32903843140728445,0.34578217364970126
9162,Negative,Positive,False,0.32524670076819856,0.3368511856279214,0.33790211360388
4156,Neutral,Neutral,True,0.32524420741158966,0.3390697734781062,0.33568601911030405
2350,Negative,Neutral,False,0.3252457039894746,0.33852172787895674,0.3362325681315686
8941,Positive,Positive,True,0.3162075263057713,0.330093909235492,0.35369856445873676
7681,Neutral,Negative,False,0.3352800780831013,0.33463421299381907,0.3300857089230796
9895,Negative,Neutral,False,0.3170691500556729,0.3467661531457314,0.33616469679859573
9310,Negative,Negative,True,0.3445455932698298,0.33065806870077585,0.3247963380293943
1249,Neutral,Negative,False,0.3443849113868531,0.3405120133908551,0.3151030752222918
2118,Positive,Positive,True,0.32617678979132086,0.32792536863584926,0.3458978415728298
433,Positive,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
9221,Positive,Positive,True,0.3251497571477909,0.3273838426163948,0.3474664002358144
5084,Negative,Negative,True,0.34451271283243257,0.3214299235448196,0.33405736362274785
5754,Negative,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
7375,Neutral,Positive,False,0.31662347057800105,0.3309761694995005,0.3524003599224985
6290,Positive,Positive,True,0.315822485237678,0.31852731711850635,0.36565019764381557
5473,Negative,Neutral,False,0.3170634122797053,0.347322858778486,0.3356137289418087
5240,Neutral,Neutral,True,0.3252362658444432,0.3407135475717141,0.3340501865838427
1256,Positive,Positive,True,0.32491842714718877,0.3190826445258307,0.3559989283269805
4113,Positive,Positive,True,0.32517757723731217,0.3289274908249857,0.3458949319377021
3965,Neutral,Neutral,True,0.32524420741158966,0.3390697734781062,0.33568601911030405
7114,Negative,Neutral,False,0.3252457039894746,0.33852172787895674,0.3362325681315686
8092,Positive,Positive,True,0.3351960832323318,0.3189748432494081,0.3458290735182601
1643,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
8059,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
6316,Neutral,Positive,False,0.31535574913491327,0.3293616223745486,0.35528262849053815
6006,Negative,Positive,False,0.32485754544353523,0.31747597697354185,0.35766647758292286
2703,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
7723,Negative,Neutral,False,0.30793501649734584,0.3495755543697778,0.34248942913287644
577,Positive,Positive,True,0.3167286181763256,0.34047649969724086,0.34279488212643355
5396,Negative,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
8993,Negative,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
3521,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
9842,Neutral,Neutral,True,0.32524420741158966,0.3390697734781062,0.33568601911030405
8020,Positive,Neutral,False,0.31603179717644725,0.3601256874690974,0.32384251535445535
7363,Neutral,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
9902,Negative,Positive,False,0.3170564657605469,0.335009910689519,0.34793362354993407
8730,Negative,Positive,False,0.32449928950811785,0.3099097535212575,0.3655909569706247
6983,Negative,Positive,False,0.3170787213207843,0.337242627422072,0.34567865125714375
9353,Positive,Positive,True,0.32513887588070517,0.32684224297856307,0.3480188811407319
4895,Positive,Neutral,False,0.316654239443571,0.35070425928191945,0.33264150127450953
2786,Positive,Positive,True,0.3442249951923925,0.3101828324296707,0.3455921723779367
6218,Positive,Positive,True,0.3252032692346122,0.3306659233061751,0.3441308074592127
1709,Positive,Positive,True,0.32524670076819856,0.3368511856279214,0.33790211360388
5861,Positive,Neutral,False,0.3251282763714236,0.34853114531718843,0.3263405783113879
8923,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
9480,Neutral,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
3424,Neutral,Positive,False,0.3251497571477909,0.3273838426163948,0.3474664002358144
7122,Neutral,Positive,False,0.3353655743652223,0.3288000502932289,0.33583437534154875
6209,Neutral,Negative,False,0.3445528239815897,0.3290322287942731,0.3264149472241373
8692,Positive,Positive,True,0.32517939494301434,0.32903843140728445,0.34578217364970126
7560,Neutral,Neutral,True,0.3252445603213569,0.33895771317981127,0.3357977264988318
5495,Negative,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
9247,Neutral,Positive,False,0.3252032692346122,0.3306659233061751,0.3441308074592127
9828,Negative,Positive,False,0.3162075263057713,0.330093909235492,0.35369856445873676
4810,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
2710,Negative,Positive,False,0.32518070686826334,0.3291194403106248,0.3456998528211118
5378,Neutral,Neutral,True,0.33610090633948003,0.3395927366719889,0.3243063569885311
9113,Positive,Positive,True,0.3170915124869999,0.33944970835031374,0.3434587791626864
6347,Positive,Positive,True,0.32517939494301434,0.32903843140728445,0.34578217364970126
5080,Negative,Neutral,False,0.31627792160229184,0.34981328399447603,0.33390879440323207
4589,Neutral,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
845,Positive,Neutral,False,0.31020804840162236,0.36623647672755427,0.3235554748708234
3032,Neutral,Neutral,True,0.31627792160229184,0.34981328399447603,0.33390879440323207
2421,Positive,Positive,True,0.32517757723731217,0.3289274908249857,0.3458949319377021
7095,Neutral,Negative,False,0.34874724735328433,0.3046019964397072,0.3466507562070085
4344,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
3799,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
3454,Neutral,Positive,False,0.3070748267907927,0.33840221823357386,0.35452295497563346
5623,Positive,Positive,True,0.3165317999164167,0.32711895624952514,0.3563492438340581
2441,Negative,Positive,False,0.3352823677099073,0.31009918601316605,0.35461844627692657
1640,Neutral,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
9684,Negative,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
9937,Positive,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
6663,Negative,Positive,False,0.3352561439954991,0.32699636308196456,0.3377474929225365
573,Positive,Neutral,False,0.3081699334194545,0.35826917565732924,0.33356089092321634
9141,Neutral,Positive,False,0.33522809650883684,0.3248561788125062,0.3399157246786569
2386,Positive,Positive,True,0.3251789067686413,0.32900849023571976,0.345812602995639
1832,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
7947,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
7829,Negative,Neutral,False,0.33265263776822784,0.3405990122608418,0.3267483499709302
9234,Positive,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
457,Negative,Negative,True,0.3443849113868531,0.3405120133908551,0.3151030752222918
5415,Neutral,Negative,False,0.33614466160349177,0.3280267265228912,0.335828611873617
3462,Neutral,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
1199,Positive,Positive,True,0.3356151436913043,0.3192881738490844,0.3450966824596113
1456,Neutral,Negative,False,0.35481976794265657,0.31547588944744825,0.32970434260989523
4385,Positive,Negative,False,0.35481976794265657,0.31547588944744825,0.32970434260989523
8465,Positive,Positive,True,0.32517939494301434,0.32903843140728445,0.34578217364970126
9543,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
684,Positive,Positive,True,0.3069045988530504,0.33051864713813717,0.3625767540088125
805,Neutral,Positive,False,0.31632210527521826,0.3379023919554913,0.3457755027692904
6033,Negative,Negative,True,0.3445420198395646,0.3311914725131897,0.32426650764724557
389,Neutral,Positive,False,0.31581753791606304,0.31841671242006175,0.36576574966387515
2170,Positive,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
2511,Positive,Negative,False,0.3353745214174667,0.3304404927327225,0.3341849858498107
8902,Negative,Negative,True,0.34448841324982094,0.3198201864424685,0.33569140030771055
8478,Negative,Neutral,False,0.3170634122797053,0.347322858778486,0.3356137289418087
8244,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
9951,Positive,Positive,True,0.31695727572864363,0.32933330284330414,0.3537094214280523
1621,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
1494,Negative,Neutral,False,0.3252362658444432,0.3407135475717141,0.3340501865838427
9863,Positive,Positive,True,0.32668582292823517,0.3303756569443448,0.34293852012742004
6694,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
4657,Negative,Negative,True,0.3445455932698298,0.33065806870077585,0.3247963380293943
9105,Positive,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
9028,Positive,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
6100,Negative,Negative,True,0.375975754083014,0.30441447331038196,0.31960977260660406
9279,Neutral,Neutral,True,0.3106167492077943,0.34612366445028814,0.3432595863419175
1252,Positive,Positive,True,0.3105480163536349,0.33587624106069647,0.3535757425856687
1319,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
5855,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
3929,Negative,Neutral,False,0.3247449922487129,0.3604416857724742,0.31481332197881284
6972,Neutral,Positive,False,0.3249375979613494,0.3196195471198823,0.3554428549187682
540,Neutral,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
5254,Positive,Positive,True,0.3249414462656232,0.3197293476687173,0.3553292060656595
9453,Neutral,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
2401,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
2911,Negative,Positive,False,0.3349813083716732,0.31515235327887675,0.3498663383494501
4614,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
8438,Neutral,Negative,False,0.3548711188668175,0.3245490889002023,0.3205797922329801
7470,Positive,Neutral,False,0.3252459388352786,0.3384097258619816,0.3363443353027399
8833,Neutral,Neutral,True,0.32524420741158966,0.3390697734781062,0.33568601911030405
3606,Negative,Neutral,False,0.3251282763714236,0.34853114531718843,0.3263405783113879
4145,Neutral,Neutral,True,0.3252445603213569,0.33895771317981127,0.3357977264988318
9943,Negative,Neutral,False,0.3251282763714236,0.34853114531718843,0.3263405783113879
3317,Negative,Neutral,False,0.3252362658444432,0.3407135475717141,0.3340501865838427
2777,Neutral,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
394,Neutral,Positive,False,0.3244071888388925,0.3082919355184709,0.36730087564263647
5477,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
8507,Positive,Positive,True,0.33451720155879855,0.329643529782978,0.3358392686582235
2544,Negative,Negative,True,0.3445455932698298,0.33065806870077585,0.3247963380293943
8325,Neutral,Negative,False,0.34448841324982094,0.3198201864424685,0.33569140030771055
4993,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
4624,Neutral,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
4415,Positive,Positive,True,0.31574618639226193,0.3168778999062518,0.3673759137014863
5349,Negative,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
