,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Neutral,False,0.33070866141732286,0.38320209973753283,0.28608923884514437
5672,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
5389,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
3103,Positive,Positive,True,0.27893738140417457,0.3225806451612903,0.3984819734345351
7910,Positive,Positive,True,0.36507936507936506,0.2222222222222222,0.4126984126984127
4158,Positive,Positive,True,0.36507936507936506,0.2222222222222222,0.4126984126984127
6029,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
9162,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
4156,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
2350,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
8941,Positive,Positive,True,0.30201342281879195,0.31543624161073824,0.3825503355704698
7681,Neutral,Neutral,True,0.33070866141732286,0.38320209973753283,0.28608923884514437
9895,Negative,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
9310,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
1249,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
2118,Positive,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
433,Positive,Neutral,False,0.33070866141732286,0.38320209973753283,0.28608923884514437
9221,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
5084,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
5754,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
7375,Neutral,Neutral,True,0.3974358974358974,0.4230769230769231,0.1794871794871795
6290,Positive,Positive,True,0.352,0.272,0.376
5473,Negative,Neutral,False,0.33070866141732286,0.38320209973753283,0.28608923884514437
5240,Neutral,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
1256,Positive,Neutral,False,0.29545454545454547,0.44545454545454544,0.2590909090909091
4113,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
3965,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
7114,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
