,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Negative,True,0.34895331242730865,0.3480291821254948,0.30301750544719663
5672,Negative,Neutral,False,0.2988378258222743,0.35891098529406334,0.3422511888836623
5389,Positive,Positive,True,0.31567090545053833,0.3077384136162375,0.3765906809332242
3103,Positive,Positive,True,0.33151381063430135,0.31540068133915833,0.3530855080265404
7910,Positive,Negative,False,0.3422660094852899,0.33523582918335176,0.32249816133135834
4158,Positive,Neutral,False,0.3183229962163582,0.37761399216418806,0.3040630116194538
6029,Neutral,Positive,False,0.3394618445364443,0.3087950874242635,0.3517430680392923
9162,Negative,Neutral,False,0.32424639269591465,0.34797212524811566,0.32778148205596963
4156,Neutral,Positive,False,0.32179567217916183,0.3280371755479,0.3501671522729382
2350,Negative,Neutral,False,0.3048789811705674,0.4015617387132361,0.29355928011619653
8941,Positive,Positive,True,0.3161646673379985,0.33402433540657567,0.34981099725542586
7681,Neutral,Negative,False,0.4048655607153527,0.28416227186760507,0.3109721674170422
9895,Negative,Positive,False,0.2670722919155459,0.34949538697872806,0.38343232110572606
9310,Negative,Neutral,False,0.31499467598254743,0.37641620243998686,0.3085891215774657
1249,Neutral,Negative,False,0.36488247765119786,0.3382200701021415,0.2968974522466607
2118,Positive,Positive,True,0.29644975996120193,0.3205891508559271,0.38296108918287103
433,Positive,Negative,False,0.34526985174532976,0.3256141647837443,0.3291159834709261
9221,Positive,Positive,True,0.3340275502745599,0.33184400270780895,0.3341284470176311
5084,Negative,Positive,False,0.3328039309516842,0.3277018308439187,0.33949423820439706
5754,Negative,Positive,False,0.3351769186023522,0.3135203224301376,0.3513027589675102
7375,Neutral,Neutral,True,0.280605342837119,0.3619586708363123,0.35743598632656864
6290,Positive,Positive,True,0.2991520851953786,0.29689537917504966,0.4039525356295718
5473,Negative,Neutral,False,0.3047512961268803,0.37480246566388337,0.3204462382092363
5240,Neutral,Negative,False,0.3646077825946268,0.3328245459182573,0.302567671487116
1256,Positive,Neutral,False,0.3206790049343312,0.3600014150611016,0.31931958000456717
4113,Positive,Positive,True,0.33328434801710555,0.32707246453036015,0.3396431874525342
3965,Neutral,Positive,False,0.3427052581425062,0.25299107990413616,0.4043036619533576
7114,Negative,Neutral,False,0.3067902078917381,0.3882308261983072,0.30497896590995466
8092,Positive,Neutral,False,0.267017119222629,0.43926190299274653,0.29372097778462436
1643,Neutral,Negative,False,0.34739094915820395,0.3298524133237664,0.3227566375180297
8059,Neutral,Neutral,True,0.32865107268118204,0.3484887602203388,0.3228601670984791
6316,Neutral,Positive,False,0.29036645641644315,0.277286973678251,0.4323465699053059
6006,Negative,Positive,False,0.3153667352903988,0.31645283676831926,0.36818042794128186
2703,Negative,Positive,False,0.3298157720401695,0.33175883456346705,0.3384253933963635
7723,Negative,Neutral,False,0.30149942083986603,0.3573009624282679,0.341199616731866
577,Positive,Neutral,False,0.29230345144931835,0.3601177936802439,0.34757875487043777
5396,Negative,Neutral,False,0.33958005965141386,0.3615047357725331,0.298915204576053
8993,Negative,Positive,False,0.30100788372063925,0.3322643798290958,0.36672773645026485
3521,Positive,Positive,True,0.3235407140415978,0.3207839336174095,0.35567535234099273
9842,Neutral,Neutral,True,0.298317318903839,0.3807839895811011,0.3208986915150599
8020,Positive,Neutral,False,0.2947842654881587,0.3705148345343775,0.3347008999774637
7363,Neutral,Positive,False,0.354845998037817,0.27429009255086956,0.3708639094113134
9902,Negative,Positive,False,0.3043676215241462,0.2866070167874371,0.40902536168841663
8730,Negative,Positive,False,0.3192728622915616,0.3382830112944875,0.3424441264139509
6983,Negative,Positive,False,0.29336373837587365,0.3354535917717551,0.3711826698523712
