,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Neutral,False,0.30341928432568915,0.3669873619703249,0.32959335370398596
5672,Negative,Negative,True,0.3520089774968109,0.34112221009190996,0.3068688124112791
5389,Positive,Positive,True,0.3251538863883828,0.3264286474485664,0.34841746616305075
3103,Positive,Positive,True,0.32190223339234003,0.3295688613296136,0.3485289052780464
7910,Positive,Positive,True,0.33499432433825543,0.30277008740143496,0.3622355882603096
4158,Positive,Neutral,False,0.3336137194911866,0.35302922197998426,0.3133570585288291
6029,Neutral,Neutral,True,0.3020954643226131,0.36918136786287253,0.32872316781451444
9162,Negative,Neutral,False,0.307836468306986,0.3553796965577098,0.33678383513530424
4156,Neutral,Positive,False,0.3258741986357477,0.32669923111133364,0.34742657025291873
2350,Negative,Neutral,False,0.3241142586208129,0.33831597089353027,0.3375697704856569
8941,Positive,Positive,True,0.32862174245439446,0.31492393337838365,0.3564543241672218
7681,Neutral,Neutral,True,0.317442581812697,0.35801820733250284,0.3245392108548002
9895,Negative,Positive,False,0.3167323828448349,0.33269404885093706,0.35057356830422803
9310,Negative,Neutral,False,0.3105181979557497,0.3673559181519641,0.3221258838922862
1249,Neutral,Negative,False,0.3452509086767946,0.32535610736240606,0.32939298396079936
2118,Positive,Positive,True,0.32323510509517644,0.3289146624425445,0.3478502324622791
433,Positive,Negative,False,0.3433333900361411,0.31797496532934344,0.33869164463451545
9221,Positive,Neutral,False,0.31804289546473735,0.3544604893202309,0.32749661521503176
5084,Negative,Positive,False,0.3214702134334562,0.33606104569509176,0.342468740871452
5754,Negative,Positive,False,0.3325181304055531,0.33368690903988146,0.3337949605545655
7375,Neutral,Positive,False,0.30857534326527014,0.339680818929025,0.35174383780570484
6290,Positive,Positive,True,0.30541641740179926,0.3269856344493411,0.3675979481488596
5473,Negative,Neutral,False,0.32288005522051216,0.36163356736118496,0.3154863774183029
5240,Neutral,Positive,False,0.3441549367703536,0.30308459993881576,0.3527604632908307
1256,Positive,Negative,False,0.3469763028412586,0.31830275026174265,0.33472094689699877
4113,Positive,Positive,True,0.3124168471798107,0.3055616339749397,0.3820215188452496
3965,Neutral,Neutral,True,0.33735861240850074,0.3398042195068122,0.3228371680846871
7114,Negative,Neutral,False,0.3097649958533348,0.34578740163781735,0.34444760250884776
8092,Positive,Positive,True,0.32569230928467024,0.31242255492232157,0.36188513579300813
1643,Neutral,Negative,False,0.33890908212565096,0.330686238813352,0.3304046790609971
8059,Neutral,Neutral,True,0.32221963196963865,0.34570058425171063,0.3320797837786507
6316,Neutral,Positive,False,0.3163011127019138,0.3340884777010485,0.3496104095970377
6006,Negative,Positive,False,0.31360588733372313,0.3260828431882757,0.36031126947800113
2703,Negative,Positive,False,0.30960309126000063,0.315218678645666,0.3751782300943333
7723,Negative,Positive,False,0.2971237469230577,0.34288216312419145,0.35999408995275084
577,Positive,Neutral,False,0.3274481759979772,0.33680821775072967,0.3357436062512932
5396,Negative,Positive,False,0.31865710782015505,0.32420627775664407,0.3571366144232008
8993,Negative,Positive,False,0.3247760459424914,0.3165059001366175,0.3587180539208912
3521,Positive,Negative,False,0.3486634134303291,0.3417666898877772,0.3095698966818937
9842,Neutral,Neutral,True,0.3166555904781153,0.342110696117743,0.34123371340414166
