,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Neutral,False,0.2996322628126286,0.38180294311777324,0.31856479406959776
5672,Negative,Negative,True,0.3553725877931536,0.33336022606504023,0.31126718614180615
5389,Positive,Positive,True,0.3152962995703921,0.3350295398636433,0.34967416056596545
3103,Positive,Positive,True,0.31682558967139784,0.3320700079953433,0.35110440233325935
7910,Positive,Positive,True,0.33933742335821515,0.29100010743082866,0.3696624692109578
4158,Positive,Neutral,False,0.34028431791730607,0.34702741559310485,0.3126882664895893
6029,Neutral,Neutral,True,0.3171188842736861,0.3550267226973501,0.3278543930289629
9162,Negative,Neutral,False,0.31051837034856833,0.3588669258038118,0.33061470384762165
4156,Neutral,Negative,False,0.344522980566031,0.3118591516638696,0.3436178677700986
2350,Negative,Neutral,False,0.32743032431765673,0.34672960590663,0.3258400697757132
8941,Positive,Positive,True,0.3368887903167995,0.3034947977610236,0.3596164119221784
7681,Neutral,Neutral,True,0.31405474649287657,0.3523920188796965,0.33355323462742753
9895,Negative,Neutral,False,0.3064522420822601,0.3472052403755865,0.34634251754215434
9310,Negative,Neutral,False,0.30727850452172295,0.3833456420828355,0.3093758533954409
1249,Neutral,Negative,False,0.3478972585465516,0.33580373718487494,0.31629900426857205
2118,Positive,Positive,True,0.32293718442189245,0.3166280662475866,0.36043474933052044
433,Positive,Positive,True,0.33613566936860834,0.32472075569263625,0.33914357493875474
9221,Positive,Neutral,False,0.33310376855529694,0.33376500813066595,0.33313122331403666
5084,Negative,Positive,False,0.325349203126174,0.3251364811029985,0.34951431577082687
5754,Negative,Negative,True,0.33636410221640384,0.33063458698159753,0.33300131080199724
7375,Neutral,Positive,False,0.2979004785604541,0.34130189583624365,0.36079762560330264
6290,Positive,Positive,True,0.3164566261212229,0.3128057009260894,0.3707376729526865
5473,Negative,Neutral,False,0.3188420635524818,0.3707966601560713,0.31036127629144594
5240,Neutral,Positive,False,0.3407155113811576,0.31243196875425944,0.34685251986458415
1256,Positive,Negative,False,0.34554226830816037,0.3142100906118972,0.3402476410799414
4113,Positive,Positive,True,0.3122520505553794,0.29540955292173504,0.39233839652288727
3965,Neutral,Negative,False,0.3440957088088513,0.3301804854243904,0.32572380576675986
7114,Negative,Neutral,False,0.30996956288312344,0.34982183808504685,0.34020859903182915
8092,Positive,Positive,True,0.33202934292127023,0.30807041808416935,0.3599002389945603
1643,Neutral,Positive,False,0.3356554890066772,0.3285590560558615,0.3357854549374632
8059,Neutral,Neutral,True,0.32554267603514914,0.35054802565116266,0.32390929831368787
