,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Neutral,False,0.32,0.36,0.32
5672,Negative,Negative,True,0.36,0.35,0.29
5389,Positive,Negative,False,0.37,0.34,0.29
3103,Positive,Positive,True,0.3,0.31,0.39
7910,Positive,Negative,False,0.44,0.3,0.26
4158,Positive,Neutral,False,0.34,0.36,0.3
6029,Neutral,Negative,False,0.36,0.33,0.31
9162,Negative,Neutral,False,0.14,0.43,0.43
4156,Neutral,Positive,False,0.23,0.33,0.44
2350,Negative,Neutral,False,0.28,0.43,0.29
8941,Positive,Positive,True,0.29,0.32,0.39
7681,Neutral,Negative,False,0.5,0.24,0.26
9895,Negative,Neutral,False,0.21,0.42,0.37
9310,Negative,Negative,True,0.39,0.31,0.3
1249,Neutral,Neutral,True,0.33,0.34,0.33
2118,Positive,Negative,False,0.45,0.25,0.3
433,Positive,Negative,False,0.49,0.23,0.28
9221,Positive,Neutral,False,0.36,0.4,0.24
5084,Negative,Positive,False,0.32,0.33,0.35
5754,Negative,Neutral,False,0.3,0.35,0.35
7375,Neutral,Neutral,True,0.25,0.45,0.3
6290,Positive,Positive,True,0.34,0.26,0.4
5473,Negative,Neutral,False,0.31,0.43,0.26
5240,Neutral,Negative,False,0.34,0.32,0.34
1256,Positive,Negative,False,0.38,0.35,0.27
4113,Positive,Neutral,False,0.33,0.38,0.29
3965,Neutral,Positive,False,0.36,0.26,0.38
7114,Negative,Negative,True,0.39,0.31,0.3
8092,Positive,Positive,True,0.23,0.35,0.42
1643,Neutral,Positive,False,0.35,0.28,0.37
8059,Neutral,Negative,False,0.41,0.36,0.23
6316,Neutral,Positive,False,0.28,0.25,0.47
6006,Negative,Negative,True,0.44,0.24,0.32
2703,Negative,Positive,False,0.29,0.33,0.38
7723,Negative,Positive,False,0.23,0.3,0.47
577,Positive,Neutral,False,0.28,0.36,0.36
5396,Negative,Negative,True,0.34,0.32,0.34
8993,Negative,Positive,False,0.35,0.27,0.38
3521,Positive,Neutral,False,0.25,0.44,0.31
9842,Neutral,Negative,False,0.42,0.3,0.28
8020,Positive,Neutral,False,0.33,0.46,0.21
7363,Neutral,Positive,False,0.26,0.26,0.48
9902,Negative,Positive,False,0.31,0.31,0.38
8730,Negative,Neutral,False,0.33,0.34,0.33
6983,Negative,Neutral,False,0.26,0.47,0.27
9353,Positive,Negative,False,0.44,0.26,0.3
4895,Positive,Positive,True,0.19,0.25,0.56
2786,Positive,Neutral,False,0.35,0.44,0.21
6218,Positive,Positive,True,0.31,0.27,0.42
1709,Positive,Neutral,False,0.36,0.4,0.24
5861,Positive,Neutral,False,0.31,0.37,0.32
8923,Negative,Positive,False,0.3,0.34,0.36
9480,Neutral,Neutral,True,0.39,0.41,0.2
3424,Neutral,Negative,False,0.34,0.33,0.33
7122,Neutral,Positive,False,0.31,0.23,0.46
6209,Neutral,Negative,False,0.39,0.23,0.38
8692,Positive,Positive,True,0.33,0.26,0.41
7560,Neutral,Positive,False,0.33,0.33,0.34
5495,Negative,Negative,True,0.36,0.31,0.33
9247,Neutral,Negative,False,0.37,0.29,0.34
9828,Negative,Neutral,False,0.28,0.41,0.31
4810,Neutral,Neutral,True,0.37,0.41,0.22
2710,Negative,Negative,True,0.41,0.28,0.31
5378,Neutral,Neutral,True,0.35,0.36,0.29
9113,Positive,Positive,True,0.32,0.31,0.37
6347,Positive,Negative,False,0.41,0.34,0.25
5080,Negative,Neutral,False,0.31,0.36,0.33
4589,Neutral,Negative,False,0.39,0.32,0.29
845,Positive,Neutral,False,0.32,0.38,0.3
3032,Neutral,Negative,False,0.44,0.21,0.35
2421,Positive,Neutral,False,0.34,0.35,0.31
7095,Neutral,Positive,False,0.28,0.33,0.39
4344,Neutral,Neutral,True,0.29,0.36,0.35
3799,Neutral,Neutral,True,0.31,0.4,0.29
3454,Neutral,Negative,False,0.39,0.35,0.26
5623,Positive,Neutral,False,0.23,0.45,0.32
2441,Negative,Negative,True,0.36,0.34,0.3
1640,Neutral,Negative,False,0.4,0.24,0.36
9684,Negative,Negative,True,0.34,0.34,0.32
9937,Positive,Negative,False,0.35,0.35,0.3
6663,Negative,Negative,True,0.39,0.38,0.23
573,Positive,Negative,False,0.44,0.31,0.25
9141,Neutral,Neutral,True,0.36,0.43,0.21
2386,Positive,Neutral,False,0.28,0.41,0.31
1832,Negative,Negative,True,0.36,0.35,0.29
7947,Neutral,Positive,False,0.32,0.26,0.42
7829,Negative,Negative,True,0.44,0.27,0.29
9234,Positive,Negative,False,0.37,0.31,0.32
457,Negative,Negative,True,0.37,0.35,0.28
5415,Neutral,Positive,False,0.37,0.24,0.39
3462,Neutral,Positive,False,0.31,0.3,0.39
1199,Positive,Neutral,False,0.31,0.35,0.34
1456,Neutral,Positive,False,0.27,0.34,0.39
4385,Positive,Positive,True,0.34,0.27,0.39
8465,Positive,Neutral,False,0.28,0.38,0.34
9543,Negative,Positive,False,0.3,0.34,0.36
684,Positive,Neutral,False,0.19,0.42,0.39
805,Neutral,Positive,False,0.36,0.23,0.41
6033,Negative,Negative,True,0.43,0.26,0.31
389,Neutral,Negative,False,0.38,0.31,0.31
2170,Positive,Negative,False,0.41,0.29,0.3
2511,Positive,Negative,False,0.45,0.25,0.3
8902,Negative,Negative,True,0.44,0.35,0.21
8478,Negative,Positive,False,0.26,0.29,0.45
8244,Negative,Positive,False,0.3,0.26,0.44
9951,Positive,Negative,False,0.35,0.35,0.3
1621,Negative,Neutral,False,0.28,0.36,0.36
1494,Negative,Neutral,False,0.27,0.37,0.36
9863,Positive,Positive,True,0.25,0.37,0.38
6694,Neutral,Positive,False,0.33,0.3,0.37
4657,Negative,Positive,False,0.37,0.23,0.4
9105,Positive,Neutral,False,0.15,0.45,0.4
9028,Positive,Positive,True,0.28,0.34,0.38
6100,Negative,Neutral,False,0.32,0.43,0.25
9279,Neutral,Neutral,True,0.26,0.43,0.31
1252,Positive,Negative,False,0.43,0.31,0.26
1319,Neutral,Negative,False,0.42,0.23,0.35
5855,Neutral,Neutral,True,0.35,0.39,0.26
3929,Negative,Positive,False,0.34,0.3,0.36
6972,Neutral,Negative,False,0.35,0.33,0.32
540,Neutral,Positive,False,0.29,0.32,0.39
5254,Positive,Positive,True,0.32,0.3,0.38
9453,Neutral,Positive,False,0.32,0.29,0.39
2401,Negative,Neutral,False,0.28,0.49,0.23
2911,Negative,Negative,True,0.35,0.34,0.31
4614,Neutral,Neutral,True,0.32,0.37,0.31
8438,Neutral,Positive,False,0.35,0.26,0.39
7470,Positive,Neutral,False,0.35,0.45,0.2
8833,Neutral,Positive,False,0.27,0.31,0.42
3606,Negative,Negative,True,0.44,0.33,0.23
4145,Neutral,Neutral,True,0.29,0.42,0.29
9943,Negative,Negative,True,0.41,0.25,0.34
3317,Negative,Neutral,False,0.32,0.4,0.28
2777,Neutral,Neutral,True,0.35,0.41,0.24
394,Neutral,Positive,False,0.38,0.2,0.42
5477,Neutral,Positive,False,0.34,0.28,0.38
8507,Positive,Neutral,False,0.31,0.39,0.3
2544,Negative,Positive,False,0.31,0.34,0.35
8325,Neutral,Positive,False,0.3,0.26,0.44
4993,Negative,Neutral,False,0.28,0.4,0.32
4624,Neutral,Neutral,True,0.32,0.36,0.32
4415,Positive,Negative,False,0.39,0.27,0.34
5349,Negative,Neutral,False,0.33,0.36,0.31
4152,Positive,Positive,True,0.28,0.33,0.39
7648,Neutral,Positive,False,0.2,0.24,0.56
2631,Neutral,Positive,False,0.2,0.39,0.41
8317,Negative,Neutral,False,0.4,0.41,0.19
7238,Negative,Positive,False,0.33,0.3,0.37
7649,Neutral,Neutral,True,0.26,0.4,0.34
784,Negative,Positive,False,0.29,0.35,0.36
3645,Positive,Neutral,False,0.26,0.38,0.36
3201,Positive,Negative,False,0.36,0.3,0.34
7587,Neutral,Neutral,True,0.31,0.37,0.32
2358,Positive,Neutral,False,0.27,0.45,0.28
6458,Neutral,Negative,False,0.41,0.29,0.3
5397,Negative,Positive,False,0.28,0.27,0.45
3224,Negative,Neutral,False,0.3,0.37,0.33
1856,Neutral,Negative,False,0.36,0.29,0.35
4561,Neutral,Positive,False,0.23,0.36,0.41
9459,Negative,Negative,True,0.41,0.23,0.36
8496,Positive,Positive,True,0.34,0.25,0.41
8603,Negative,Positive,False,0.33,0.22,0.45
9488,Negative,Neutral,False,0.3,0.47,0.23
4703,Neutral,Positive,False,0.23,0.3,0.47
1507,Neutral,Positive,False,0.31,0.32,0.37
9303,Negative,Negative,True,0.35,0.32,0.33
5373,Positive,Positive,True,0.24,0.32,0.44
4143,Negative,Positive,False,0.28,0.32,0.4
6546,Neutral,Positive,False,0.32,0.31,0.37
2707,Neutral,Positive,False,0.35,0.24,0.41
9869,Positive,Negative,False,0.4,0.34,0.26
7797,Neutral,Negative,False,0.39,0.3,0.31
4191,Negative,Negative,True,0.44,0.19,0.37
8725,Neutral,Negative,False,0.41,0.32,0.27
1537,Positive,Negative,False,0.37,0.27,0.36
1471,Negative,Positive,False,0.29,0.3,0.41
8107,Positive,Positive,True,0.32,0.3,0.38
5222,Neutral,Positive,False,0.3,0.33,0.37
8023,Negative,Positive,False,0.3,0.33,0.37
6912,Negative,Neutral,False,0.29,0.41,0.3
3690,Neutral,Positive,False,0.23,0.34,0.43
7314,Positive,Positive,True,0.34,0.31,0.35
1182,Negative,Positive,False,0.25,0.32,0.43
7952,Neutral,Neutral,True,0.33,0.34,0.33
1326,Positive,Neutral,False,0.3,0.36,0.34
6304,Negative,Negative,True,0.5,0.23,0.27
4628,Neutral,Neutral,True,0.32,0.37,0.31
3105,Positive,Neutral,False,0.31,0.35,0.34
7630,Negative,Positive,False,0.28,0.31,0.41
564,Negative,Negative,True,0.41,0.38,0.21
4398,Negative,Neutral,False,0.32,0.43,0.25
3497,Negative,Negative,True,0.4,0.32,0.28
8390,Positive,Neutral,False,0.34,0.42,0.24
7993,Neutral,Positive,False,0.35,0.28,0.37
7980,Neutral,Positive,False,0.3,0.3,0.4
2654,Negative,Negative,True,0.36,0.29,0.35
1906,Neutral,Negative,False,0.36,0.35,0.29
6367,Positive,Negative,False,0.42,0.33,0.25
9860,Negative,Neutral,False,0.31,0.36,0.33
536,Negative,Neutral,False,0.32,0.34,0.34
6832,Positive,Neutral,False,0.24,0.38,0.38
3975,Negative,Negative,True,0.49,0.26,0.25
2051,Negative,Neutral,False,0.31,0.44,0.25
3142,Neutral,Positive,False,0.38,0.23,0.39
794,Negative,Positive,False,0.21,0.38,0.41
6756,Positive,Neutral,False,0.32,0.41,0.27
9918,Neutral,Neutral,True,0.32,0.35,0.33
7145,Negative,Positive,False,0.21,0.39,0.4
6788,Positive,Negative,False,0.39,0.32,0.29
7226,Positive,Negative,False,0.36,0.36,0.28
162,Positive,Negative,False,0.39,0.28,0.33
8374,Negative,Negative,True,0.4,0.31,0.29
2877,Positive,Negative,False,0.41,0.34,0.25
8827,Negative,Positive,False,0.38,0.18,0.44
3218,Positive,Negative,False,0.42,0.33,0.25
